Id, Label
0,murasil1
1,Suspend_Me_fags
2,MhzBnt
3,Uncle_SamCoco
4,maisaraghereeb
5,432Mryam
6,Witness_alHaqq
7,ismailmahsud
8,ks48a174031
9,MaghrebiQ
10,Afriqqiya_252
11,wayf44rerr
12,freelance_112
13,Nidalgazaui
14,ro34th
15,MilkSheikh2
16,_IshfaqAhmad
17,__alfresco__
18,Fidaee_Fulaani
19,WhiteCat_7
20,squadsquaaaaad
21,Abdul__05
22,abuhanzalah10
23,melvynlion
24,1Dawlah_III
25,Jazrawi_Joulan
26,Mountainjjoool
27,al_nusra
28,nvor85j
29,pleaoftheummah
30,Mosul_05
31,st3erer
32,emran_getu
33,ManKhalfahum
34,AbuLaythAlHindi
35,fahadslay614
36,darulhijrateyni
37,Bajwa47online
38,CXaafada2
39,klakishinki
40,06230550_IS
41,Freedom_speech2
42,abuhumayra4
43,wayyf44rer
44,04_8_1437
45,k_kid04
46,moustiklash
47,AbdusMujahid149
48,FidaeeFulaani
49,Al_Battar_Engl
50,YazeedDhardaa25
51,QassamiMarwan
52,JoinISNation102
53,Abu_Ibn_Taha
54,AbuMusab_110
55,___KU217_y
56,Baqiyah_Khilafa
57,1515Ummah
58,Alwala_bara
59,MaghrebiHD
60,warreporter2
61,DabiqsweetsMan
62,sonofshishan
63,MaghrebiQM
64,abubakerdimshqi
65,BaqiyaIs
66,saifulakhir
67,almuhajirun9
68,Battar_English
69,````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````
70,abutariq040
71,abutariq041
72,MaghrebiWM
73,JohnsonsBot
74,IbnKashmir_
75,Abu_Azzzam25
76,al_zaishan10
77,mustaklash
78,thefIamesofhaqq
79,war_analysis
80,mobi_ayubi
81,abdlrhmn15
82,bintraveller
83,newerajihadi61
84,GunsandCoffee70
85,safiyaimback
86,DawlaWitness11
87,alamreeki4
88,grezz10
89,baaqiya_01
90,abuayisha108
91,EPlC24
92,btt_ar
93,abuayisha102
94,c0n0fj1had4_
95,MaghrabiArabi
96,NaseemAhmed50
97,RamiAlLolah
98,BilalIbnRabah1
99,lNSlDEWAR
100,ALK___226
101,ansarakhilafa
102,dieinurage29__7
103,WarReporter1
104,kIakishini5
105,AsimAbuMerjem
106,Jazrawi_Saraqib
107,AbuNaseeha_03
108,warrnews
109,mustafaklash56
110,Dieinurage308
111,wayff44rer